公司全名,公司简称,公司规模,融资阶段,区域,职位名称,工作经验,学历要求,薪资,职位福利,经营范围,职位类型,公司福利,第二职位类型,城市
上海走走信息科技有限公司,走走中国,15-50人,不需要融资,闵行区,python开发,3-5年,本科,20k-40k,晋升空间，福利完善，年假多,"电商,消费生活",开发|测试|运维类,"['年底双薪', '带薪年假', '交通补助', '午餐补助']",后端开发,上海
叽里呱啦文化传播（上海）有限公司,叽里呱啦,500-2000人,B轮,普陀区,高级Python开发工程师,3-5年,本科,20k-35k,风口行业 牛人多多 团队简单 阿姨烧饭,"移动互联网,教育",开发|测试|运维类,"['年底双薪', '带薪年假', '出国旅游', '没有996']",后端开发,上海
易宝软件科技（南京）有限公司,易宝软件科技（南京）有限公司,150-500人,上市公司,滨江区,python,3-5年,本科,13k-25k,五险一金,移动互联网,开发|测试|运维类,[],后端开发,杭州
北京金道天成信息系统服务有限公司,金道天成,500-2000人,不需要融资,朝阳区,python开发,3-5年,本科,10k-13k,五险一金，13薪，定期团建,"移动互联网,企业服务",开发|测试|运维类,"['年底双薪', '带薪年假', '定期体检', '节日礼物']",后端开发,北京
北京智胜新格科技有限公司,北京智胜新格科技有限...,150-500人,不需要融资,海淀区,Python开发,3-5年,本科,15k-30k,"六险一金,硅谷式办公,绩效奖金,按摩椅","移动互联网,游戏",开发|测试|运维类,"['绩效奖金', '定期体检', '弹性工作', '节日福利']",后端开发,北京
深圳市普特生物医学工程有限公司,普特生物医学,150-500人,不需要融资,南山区,python开发工程师,3-5年,本科,15k-24k,"周末双休,五险一金,带薪年假,地铁沿线",医疗丨健康,开发|测试|运维类,[],后端开发,深圳
北京数美时代科技有限公司,数美,150-500人,C轮,朝阳区,python,应届毕业生,本科,10k-20k,"快速发展,人工智能,大数据,待遇好","企业服务,数据服务",开发|测试|运维类,"['年底双薪', '大数据', '带薪年假', '通讯津贴']",后端开发,北京
北京艨艟信息技术有限公司,Games Vessel,50-150人,不需要融资,海淀区,Python开发工程师,1-3年,本科,15k-30k,下午茶 switch 弹性工时,"游戏,软件开发",开发|测试|运维类,"['定期体检', '绩效奖金', '弹性工作', '扁平管理']",后端开发,北京
北京币世界网络科技有限公司,币世界,150-500人,A轮,朝阳区,python开发工程师,3-5年,本科,17k-34k,五险一金 地铁周边,"移动互联网,金融",开发|测试|运维类,"['岗位晋升', '五险一金', '节日礼物']",后端开发,北京
上海微创软件股份有限公司,微创软件,2000人以上,不需要融资,杨浦区,python开发,3-5年,本科,12k-23k,交通便利，五险一金,"企业服务,移动互联网",开发|测试|运维类,"['绩效奖金', '带薪年假', '定期体检', '弹性工作']",后端开发,上海
